age,educational-num,capital-gain,capital-loss,hours-per-week,education,marital-status,occupation,gender,income_>50K
50,12,0,0,45,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,0
60,12,0,0,40,Assoc-acdm,Divorced,Priv-house-serv,Female,0
59,14,0,0,40,Masters,Widowed,Prof-specialty,Female,0
42,12,14084,0,36,Assoc-acdm,Never-married,Tech-support,Male,1
47,8,0,0,48,12th,Divorced,Other-service,Female,0
55,9,4787,0,40,HS-grad,Divorced,Craft-repair,Male,1
21,10,0,0,13,Some-college,Never-married,Sales,Female,0
41,14,7298,0,60,Masters,Married-civ-spouse,Prof-specialty,Male,1
40,9,0,0,40,HS-grad,Separated,Other-service,Female,0
36,9,0,0,40,HS-grad,Divorced,Tech-support,Female,0
28,11,0,0,36,Assoc-voc,Married-civ-spouse,Prof-specialty,Female,1
36,9,7298,0,60,HS-grad,Married-civ-spouse,Transport-moving,Male,1
36,13,0,1977,45,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
30,9,0,0,27,HS-grad,Never-married,Handlers-cleaners,Male,0
58,10,0,0,60,Some-college,Married-civ-spouse,Sales,Male,0
41,13,0,0,15,Bachelors,Married-civ-spouse,Prof-specialty,Female,1
67,3,0,0,40,5th-6th,Married-civ-spouse,,Male,0
33,4,0,0,40,7th-8th,Married-civ-spouse,Handlers-cleaners,Male,0
24,9,0,0,40,HS-grad,Married-civ-spouse,Other-service,Male,0
22,10,0,0,40,Some-college,Never-married,Adm-clerical,Male,0
32,14,0,0,35,Masters,Separated,Prof-specialty,Female,0
39,10,0,0,55,Some-college,Married-civ-spouse,Exec-managerial,Male,1
19,12,0,0,50,Assoc-acdm,Never-married,Exec-managerial,Female,0
52,9,0,0,45,HS-grad,Divorced,Adm-clerical,Male,0
51,9,0,0,40,HS-grad,Married-civ-spouse,Tech-support,Male,0
59,13,0,0,72,Bachelors,Married-civ-spouse,Sales,Male,0
28,9,0,0,60,HS-grad,Never-married,Other-service,Female,0
60,13,0,0,40,Bachelors,Married-civ-spouse,,Male,0
44,13,0,0,45,Bachelors,Never-married,Prof-specialty,Female,0
27,13,3325,0,43,Bachelors,Never-married,Prof-specialty,Female,0
50,9,0,0,40,HS-grad,Divorced,Craft-repair,Male,0
38,10,0,0,25,Some-college,Divorced,,Female,0
36,9,0,0,70,HS-grad,Married-civ-spouse,Transport-moving,Male,0
37,9,0,0,50,HS-grad,Married-civ-spouse,Adm-clerical,Male,1
19,10,0,0,23,Some-college,Never-married,Other-service,Female,0
49,7,2174,0,40,11th,Widowed,Craft-repair,Male,0
45,12,0,0,40,Assoc-acdm,Divorced,Tech-support,Male,0
19,8,0,0,16,12th,Never-married,Other-service,Male,0
46,10,0,0,60,Some-college,Married-civ-spouse,Exec-managerial,Male,1
64,9,0,0,40,HS-grad,Married-civ-spouse,Adm-clerical,Male,0
23,9,0,0,54,HS-grad,Separated,Machine-op-inspct,Male,0
63,6,0,0,56,10th,Widowed,Farming-fishing,Female,0
36,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
26,12,0,0,40,Assoc-acdm,Never-married,Prof-specialty,Female,0
35,10,5013,0,40,Some-college,Married-civ-spouse,Craft-repair,Male,0
37,13,0,0,48,Bachelors,Never-married,Exec-managerial,Male,1
22,13,0,0,40,Bachelors,Never-married,,Male,0
29,11,0,0,50,Assoc-voc,Married-civ-spouse,Craft-repair,Male,0
47,13,0,0,60,Bachelors,Married-civ-spouse,Sales,Male,1
21,12,0,0,40,Assoc-acdm,Never-married,,Female,0
29,9,0,0,45,HS-grad,Divorced,Other-service,Female,0
34,9,0,0,40,HS-grad,Divorced,Handlers-cleaners,Male,0
48,9,0,0,48,HS-grad,Married-civ-spouse,,Male,1
31,9,0,1977,40,HS-grad,Married-civ-spouse,Sales,Male,1
29,14,1506,0,40,Masters,Never-married,Prof-specialty,Female,0
34,9,0,0,48,HS-grad,Married-civ-spouse,Transport-moving,Male,0
32,9,0,0,38,HS-grad,Divorced,Adm-clerical,Female,0
41,14,0,0,55,Masters,Married-civ-spouse,Prof-specialty,Male,1
30,14,0,0,47,Masters,Married-civ-spouse,Prof-specialty,Male,1
36,9,0,0,40,HS-grad,Divorced,Farming-fishing,Male,0
42,8,0,0,60,12th,Married-civ-spouse,Craft-repair,Male,1
62,4,0,0,10,7th-8th,Married-civ-spouse,Craft-repair,Male,0
36,10,6497,0,56,Some-college,Separated,Adm-clerical,Female,0
29,7,0,0,60,11th,Separated,Transport-moving,Male,0
38,16,7688,0,40,Doctorate,Married-civ-spouse,Prof-specialty,Female,1
42,13,0,0,60,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
64,13,0,0,40,Bachelors,Divorced,Exec-managerial,Female,0
32,13,0,0,60,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
33,13,0,0,55,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
32,10,0,0,38,Some-college,Divorced,Exec-managerial,Female,0
33,13,7298,0,45,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
75,13,0,0,6,Bachelors,Widowed,,Female,0
25,5,0,0,40,9th,Never-married,Adm-clerical,Female,0
30,12,0,0,40,Assoc-acdm,Never-married,Sales,Female,0
35,11,7298,0,48,Assoc-voc,Married-civ-spouse,Tech-support,Male,1
40,8,0,0,40,12th,Divorced,Craft-repair,Male,0
33,9,0,0,40,HS-grad,Never-married,Adm-clerical,Female,0
24,9,0,0,48,HS-grad,Never-married,Machine-op-inspct,Male,0
24,9,0,0,35,HS-grad,Never-married,Adm-clerical,Female,0
47,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
40,11,0,0,40,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,1
26,9,0,0,40,HS-grad,Married-civ-spouse,Prof-specialty,Male,0
32,13,99999,0,60,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
25,10,0,0,40,Some-college,Never-married,Sales,Male,0
35,12,0,0,35,Assoc-acdm,Never-married,Adm-clerical,Female,0
35,9,0,0,40,HS-grad,Separated,Adm-clerical,Female,0
21,10,0,0,40,Some-college,Never-married,Other-service,Male,0
43,9,0,0,40,HS-grad,Married-civ-spouse,Tech-support,Male,1
72,10,0,0,20,Some-college,Widowed,Adm-clerical,Female,0
39,12,0,0,40,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Male,0
44,14,0,0,40,Masters,Married-civ-spouse,Prof-specialty,Male,1
34,9,0,0,40,HS-grad,Separated,Adm-clerical,Male,1
32,9,0,0,40,HS-grad,Never-married,Handlers-cleaners,Male,0
62,6,0,0,40,10th,Married-civ-spouse,Machine-op-inspct,Male,0
50,13,0,0,45,Bachelors,Divorced,Exec-managerial,Male,1
31,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,1
29,13,0,0,42,Bachelors,Never-married,Prof-specialty,Female,0
34,9,0,0,40,HS-grad,Separated,Other-service,Male,0
25,9,0,0,40,HS-grad,Never-married,Handlers-cleaners,Male,0
28,9,0,0,40,HS-grad,Never-married,Adm-clerical,Male,0
23,9,0,0,96,HS-grad,Divorced,Sales,Male,0
22,10,0,0,45,Some-college,Never-married,Other-service,Male,0
43,9,0,0,40,HS-grad,Separated,Machine-op-inspct,Female,0
31,13,0,0,40,Bachelors,Never-married,Exec-managerial,Female,0
33,9,0,0,35,HS-grad,Never-married,Craft-repair,Male,0
46,10,0,0,38,Some-college,Married-civ-spouse,Protective-serv,Male,1
66,13,20051,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
36,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
24,13,0,0,20,Bachelors,Never-married,Adm-clerical,Female,0
30,14,0,0,40,Masters,Never-married,Prof-specialty,Male,0
67,9,9386,0,40,HS-grad,Married-civ-spouse,Exec-managerial,Male,1
28,13,0,0,55,Bachelors,Never-married,Prof-specialty,Male,1
49,9,0,0,40,HS-grad,Never-married,,Male,0
48,14,0,0,35,Masters,Married-civ-spouse,Prof-specialty,Male,1
34,12,0,2042,10,Assoc-acdm,Married-civ-spouse,Tech-support,Male,0
55,7,0,0,40,11th,Separated,Adm-clerical,Female,0
55,10,0,0,20,Some-college,Divorced,Other-service,Female,0
42,9,0,1740,43,HS-grad,Married-civ-spouse,Transport-moving,Male,0
36,9,0,1902,60,HS-grad,Married-civ-spouse,Farming-fishing,Male,1
46,10,0,0,45,Some-college,Divorced,Handlers-cleaners,Male,0
44,14,0,0,40,Masters,Married-civ-spouse,Prof-specialty,Male,0
44,13,0,0,35,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
22,9,0,0,40,HS-grad,Never-married,Adm-clerical,Female,0
19,10,0,0,18,Some-college,Never-married,Adm-clerical,Female,0
37,9,0,0,50,HS-grad,Divorced,Exec-managerial,Female,0
52,14,0,0,55,Masters,Never-married,Prof-specialty,Female,0
55,9,0,0,40,HS-grad,Divorced,Handlers-cleaners,Male,0
47,14,0,0,50,Masters,Divorced,Prof-specialty,Female,1
22,10,0,0,20,Some-college,Never-married,Prof-specialty,Male,0
20,9,0,0,45,HS-grad,Never-married,Other-service,Male,0
37,10,0,0,60,Some-college,Married-civ-spouse,Sales,Male,1
50,9,0,0,40,HS-grad,Divorced,Adm-clerical,Female,0
32,9,2829,0,40,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,0
30,9,0,0,41,HS-grad,Never-married,Adm-clerical,Male,0
30,10,0,2051,40,Some-college,Married-civ-spouse,Craft-repair,Male,0
18,7,0,0,20,11th,Never-married,Sales,Male,0
51,9,0,1876,40,HS-grad,Separated,Machine-op-inspct,Male,0
45,11,0,0,55,Assoc-voc,Divorced,Adm-clerical,Female,1
44,9,0,2377,35,HS-grad,Married-civ-spouse,Other-service,Male,0
18,4,0,0,40,7th-8th,Never-married,Machine-op-inspct,Male,0
23,13,0,0,40,Bachelors,Never-married,Prof-specialty,Male,0
48,13,4386,0,50,Bachelors,Married-civ-spouse,Sales,Male,1
27,9,0,0,40,HS-grad,Never-married,Machine-op-inspct,Male,0
60,10,0,0,40,Some-college,Divorced,Prof-specialty,Female,0
67,9,0,0,15,HS-grad,Divorced,Adm-clerical,Female,0
47,9,0,0,40,HS-grad,Divorced,Exec-managerial,Male,0
56,7,0,0,40,11th,Married-civ-spouse,Tech-support,Female,0
53,9,0,0,40,HS-grad,Married-civ-spouse,Adm-clerical,Male,0
44,15,0,0,40,Prof-school,Separated,Prof-specialty,Female,0
39,11,0,0,60,Assoc-voc,Married-civ-spouse,Farming-fishing,Male,0
25,8,0,0,40,12th,Married-civ-spouse,Other-service,Female,0
41,10,0,0,35,Some-college,Married-civ-spouse,Adm-clerical,Female,0
35,10,0,0,45,Some-college,Married-civ-spouse,Tech-support,Male,0
52,14,0,0,40,Masters,Divorced,Prof-specialty,Female,0
20,10,0,0,15,Some-college,Never-married,Adm-clerical,Female,0
54,14,0,0,37,Masters,Never-married,Prof-specialty,Female,0
31,9,0,0,60,HS-grad,Never-married,Handlers-cleaners,Male,0
37,9,0,0,55,HS-grad,Married-civ-spouse,Transport-moving,Male,1
23,13,10520,0,40,Bachelors,Never-married,Prof-specialty,Male,1
38,13,15024,0,50,Bachelors,Married-civ-spouse,Sales,Male,1
36,13,0,1741,40,Bachelors,Divorced,Exec-managerial,Male,0
44,9,0,0,40,HS-grad,Divorced,Adm-clerical,Female,0
33,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
34,13,0,1902,48,Bachelors,Married-civ-spouse,Protective-serv,Male,1
34,7,0,0,70,11th,Divorced,Other-service,Female,0
38,9,0,0,45,HS-grad,Divorced,Tech-support,Male,0
26,10,0,0,40,Some-college,Never-married,Farming-fishing,Male,0
39,15,15024,0,60,Prof-school,Married-civ-spouse,Prof-specialty,Male,1
76,13,0,0,30,Bachelors,Married-civ-spouse,,Male,0
40,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
48,10,0,0,45,Some-college,Never-married,Craft-repair,Male,0
42,10,0,0,50,Some-college,Married-civ-spouse,Prof-specialty,Female,1
22,10,0,0,11,Some-college,Never-married,Other-service,Female,0
23,9,0,0,48,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,0
19,10,0,0,38,Some-college,Never-married,Adm-clerical,Female,0
33,9,0,0,50,HS-grad,Married-civ-spouse,Craft-repair,Male,0
46,11,0,0,40,Assoc-voc,Married-civ-spouse,Craft-repair,Male,1
42,10,0,0,30,Some-college,Divorced,Adm-clerical,Female,0
68,9,0,0,30,HS-grad,Never-married,Sales,Female,0
40,6,0,0,40,10th,Divorced,Craft-repair,Male,0
44,3,0,0,40,5th-6th,Married-civ-spouse,Machine-op-inspct,Male,0
21,9,0,0,40,HS-grad,Never-married,Adm-clerical,Female,0
36,13,7688,0,40,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
42,12,0,0,48,Assoc-acdm,Divorced,Protective-serv,Male,1
21,11,0,0,40,Assoc-voc,Never-married,Craft-repair,Male,0
61,14,0,0,40,Masters,Married-civ-spouse,Sales,Male,1
57,10,0,0,40,Some-college,Married-civ-spouse,Prof-specialty,Male,0
22,9,0,0,50,HS-grad,Married-civ-spouse,Transport-moving,Male,0
72,15,99999,0,50,Prof-school,Married-civ-spouse,Prof-specialty,Male,1
49,3,0,0,40,5th-6th,Separated,Machine-op-inspct,Female,0
26,13,0,1977,75,Bachelors,Married-civ-spouse,Sales,Female,1
50,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,1
25,9,0,0,10,HS-grad,Divorced,Craft-repair,Male,0
23,10,0,0,40,Some-college,Never-married,Sales,Male,0
49,14,0,0,50,Masters,Married-civ-spouse,Prof-specialty,Male,1
30,10,0,0,65,Some-college,Divorced,Sales,Female,0
22,10,0,0,40,Some-college,Never-married,,Male,0
49,9,0,0,40,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,0
28,9,0,0,35,HS-grad,Never-married,Farming-fishing,Female,0
61,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
26,7,0,0,40,11th,Separated,Craft-repair,Male,0
29,9,0,0,40,HS-grad,Never-married,Transport-moving,Male,0
47,13,0,0,50,Bachelors,Never-married,Exec-managerial,Male,0
33,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
33,14,0,0,40,Masters,Married-civ-spouse,Exec-managerial,Male,0
50,13,0,0,50,Bachelors,Divorced,Exec-managerial,Female,0
34,9,0,0,70,HS-grad,Married-civ-spouse,Farming-fishing,Male,0
44,13,27828,0,60,Bachelors,Divorced,Sales,Female,1
59,9,0,0,40,HS-grad,Never-married,Adm-clerical,Male,0
27,9,0,0,40,HS-grad,Never-married,Adm-clerical,Female,0
47,9,0,0,40,HS-grad,Married-civ-spouse,Protective-serv,Male,0
21,9,0,0,40,HS-grad,Never-married,Machine-op-inspct,Female,0
30,7,2580,0,40,11th,Married-civ-spouse,Craft-repair,Male,0
36,13,0,0,35,Bachelors,Married-civ-spouse,Craft-repair,Male,0
47,7,0,0,40,11th,Married-spouse-absent,Craft-repair,Male,0
33,12,0,0,40,Assoc-acdm,Married-civ-spouse,Protective-serv,Male,0
26,10,0,0,60,Some-college,Divorced,Tech-support,Male,0
22,10,0,0,40,Some-college,Never-married,Other-service,Male,0
53,9,0,0,40,HS-grad,Divorced,Adm-clerical,Female,0
43,10,1055,0,40,Some-college,Never-married,Handlers-cleaners,Female,0
34,10,0,0,40,Some-college,Never-married,Exec-managerial,Female,0
30,10,0,0,40,Some-college,Married-civ-spouse,Adm-clerical,Female,1
69,4,0,0,35,7th-8th,Married-civ-spouse,Other-service,Male,0
53,9,0,0,60,HS-grad,Married-civ-spouse,Craft-repair,Male,0
51,10,0,0,40,Some-college,Divorced,Adm-clerical,Female,0
26,13,0,0,45,Bachelors,Never-married,Prof-specialty,Female,0
29,9,0,0,30,HS-grad,Married-spouse-absent,Transport-moving,Male,0
21,9,0,0,35,HS-grad,Never-married,Craft-repair,Male,0
49,9,0,0,40,HS-grad,Separated,Machine-op-inspct,Female,0
51,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,Male,0
18,9,1055,0,25,HS-grad,Never-married,Transport-moving,Male,0
25,13,0,0,20,Bachelors,Married-civ-spouse,Exec-managerial,Male,0
30,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,Male,1
35,11,0,0,40,Assoc-voc,Never-married,Craft-repair,Male,0
40,13,0,0,50,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
56,10,0,1887,40,Some-college,Married-civ-spouse,Exec-managerial,Male,1
18,10,0,0,12,Some-college,Never-married,Exec-managerial,Male,0
30,6,0,0,40,10th,Married-civ-spouse,Adm-clerical,Male,0
29,9,2635,0,40,HS-grad,Married-civ-spouse,Other-service,Female,0
31,13,0,0,30,Bachelors,Widowed,Other-service,Female,0
63,10,0,0,40,Some-college,Widowed,Other-service,Female,0
27,13,0,0,40,Bachelors,Never-married,Sales,Male,0
33,9,0,0,40,HS-grad,Separated,Other-service,Female,0
52,9,0,0,40,HS-grad,Divorced,Craft-repair,Male,1
33,10,0,0,35,Some-college,Never-married,Other-service,Male,0
44,13,7688,0,50,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
27,15,0,0,60,Prof-school,Married-civ-spouse,Prof-specialty,Male,0
30,10,0,0,24,Some-college,Never-married,Other-service,Male,0
43,13,0,0,40,Bachelors,Married-civ-spouse,Adm-clerical,Male,1
52,11,0,0,20,Assoc-voc,Married-civ-spouse,Other-service,Female,1
45,10,0,0,55,Some-college,Widowed,Exec-managerial,Female,0
34,13,0,0,40,Bachelors,Married-civ-spouse,Exec-managerial,Male,1
55,9,0,0,37,HS-grad,Divorced,Sales,Female,0
58,6,5178,0,40,10th,Married-civ-spouse,Craft-repair,Male,1
34,14,0,0,60,Masters,Never-married,Prof-specialty,Male,1
53,14,0,0,40,Masters,Married-civ-spouse,Exec-managerial,Male,1
